GHI,Temperature,Relative Humidity,Solar Zenith Angle,Cloud Type,Clearsky GHI,Power_MW
242.0,13.850000000000001,74.425,72.42,4.5,275.0,0.0
101.0,12.450000000000001,85.305,81.215,1.5,118.0,0.0
8.5,11.350000000000001,86.39500000000001,91.265,0.0,8.5,0.0
0.0,9.0,93.89,158.61,4.0,0.0,1.0
0.0,8.75,93.805,163.375,0.0,0.0,8.6
0.0,8.5,94.155,159.465,0.0,0.0,15.0
0.0,8.3,95.0,150.01,0.0,0.0,19.1
0.0,8.200000000000001,95.06,138.735,7.0,0.0,20.5
0.0,8.200000000000001,94.24,126.95500000000001,0.0,0.0,21.0
0.0,8.25,93.515,115.15,4.0,0.0,19.4
0.0,8.4,92.83500000000001,103.595,4.0,0.0,14.8
0.0,8.95,90.805,92.31,5.5,0.0,8.1
49.5,10.4,86.91,82.18,5.5,104.0,0.0
221.0,12.100000000000001,82.515,73.21000000000001,7.0,263.0,0.0
329.5,13.850000000000001,80.16499999999999,65.95,7.5,398.0,0.0
399.0,15.100000000000001,77.745,61.09,7.0,487.0,0.0
385.5,15.650000000000002,75.91,59.25,6.0,519.0,0.0
359.0,15.650000000000002,76.37,60.7,8.0,490.0,0.0
279.5,15.25,79.965,65.225,7.5,407.0,0.0
200.0,14.450000000000001,86.535,72.22999999999999,5.5,277.5,0.0
70.0,13.5,90.08,81.03,6.0,120.5,0.0
3.0,12.8,92.57499999999999,91.095,8.0,9.0,0.0
0.0,11.850000000000001,95.22,158.41500000000002,4.0,0.0,0.1
0.0,11.2,94.65,163.2,5.5,0.0,4.2
0.0,10.3,92.59,159.365,7.5,0.0,10.5
0.0,9.700000000000001,90.305,149.96,7.0,0.0,13.4
0.0,9.3,89.62,138.71,7.0,0.0,9.7
0.0,9.2,90.485,126.935,7.5,0.0,0.3
0.0,9.75,90.275,115.125,3.0,0.0,9.6
0.0,10.200000000000001,90.245,103.56,5.5,0.0,5.7
0.0,10.600000000000001,88.78999999999999,92.27000000000001,5.0,0.0,0.1
18.0,11.05,87.82,82.11500000000001,7.5,103.0,0.0
36.5,11.150000000000002,86.86000000000001,73.12,6.5,259.5,0.0
146.5,10.95,85.905,65.83500000000001,8.0,393.0,0.0
62.5,10.8,85.25,60.94,6.5,485.0,0.0
149.5,10.95,83.61500000000001,59.075,6.0,521.0,0.0
135.0,11.100000000000001,82.36,60.510000000000005,7.0,499.0,0.0
177.5,11.05,82.39,65.025,7.0,413.5,0.0
225.5,10.700000000000001,84.36000000000001,72.03999999999999,8.0,279.0,0.0
50.0,10.3,86.455,80.845,3.0,121.5,0.0
5.0,10.05,86.575,90.92,5.5,9.5,0.0
0.0,8.3,84.735,158.22500000000002,0.0,0.0,1.2
0.0,7.9,84.96000000000001,163.025,0.0,0.0,9.2
0.0,7.6,84.76,159.255,0.0,0.0,15.1
0.0,7.25,84.97999999999999,149.91000000000003,0.0,0.0,19.2
0.0,6.95,85.565,138.68,0.0,0.0,20.8
0.0,6.6,86.765,126.91,0.0,0.0,20.6
0.0,6.1,89.06,115.095,0.0,0.0,18.8
0.0,5.8500000000000005,89.665,103.525,0.5,0.0,14.2
0.0,6.3500000000000005,86.455,92.215,0.0,0.0,5.3
115.5,8.05,80.87,82.03999999999999,0.0,115.5,0.0
282.5,9.350000000000001,71.11,73.025,0.0,282.5,0.0
424.0,10.600000000000001,61.195,65.705,0.0,424.0,0.0
518.5,11.350000000000001,55.69,60.785000000000004,0.0,518.5,0.0
554.0,11.9,52.89,58.89,0.0,554.0,0.0
527.5,12.200000000000001,52.245000000000005,60.315,0.0,527.5,0.0
439.5,12.05,54.120000000000005,64.825,0.0,439.5,0.0
301.5,11.3,60.1,71.84,0.0,301.5,0.0
136.0,9.700000000000001,74.36,80.655,0.0,136.0,0.0
12.0,8.5,77.695,90.74000000000001,0.0,12.0,0.0
0.0,7.300000000000001,85.67,158.02499999999998,3.5,0.0,0.8
0.0,7.2,86.04,162.83499999999998,3.5,0.0,7.4
0.0,7.050000000000001,86.92,159.14,4.0,0.0,12.0
0.0,6.9,87.89,149.845,4.0,0.0,14.4
0.0,6.8500000000000005,88.03,138.645,4.0,0.0,15.5
0.0,6.9,87.28,126.875,4.0,0.0,15.0
0.0,7.0,86.21000000000001,115.06,5.5,0.0,11.7
0.0,7.0,85.50999999999999,103.47999999999999,4.0,0.0,10.3
0.0,7.300000000000001,83.535,92.16,6.0,0.0,6.6
21.5,8.25,81.215,81.95500000000001,4.0,106.5,0.0
154.0,9.5,75.58500000000001,72.92,4.0,265.5,0.0
252.5,10.850000000000001,68.375,65.57,7.0,400.5,0.0
287.0,11.45,65.42500000000001,60.620000000000005,6.5,489.0,0.0
398.0,11.75,64.175,58.705,7.0,522.5,0.0
356.5,12.25,63.53,60.11,5.5,497.5,0.0
291.5,12.350000000000001,65.34,64.62,6.0,415.0,0.0
231.5,12.100000000000001,70.535,71.64,1.5,284.0,0.0
62.5,11.600000000000001,73.605,80.465,3.5,126.0,0.0
5.5,11.150000000000002,73.735,90.565,5.5,11.0,0.0
0.0,9.850000000000001,77.18,157.825,7.0,0.0,1.3
0.0,9.5,79.09,162.64000000000001,7.0,0.0,8.6
0.0,9.0,81.195,159.02,7.0,0.0,14.4
0.0,8.5,82.075,149.78,7.5,0.0,18.7
0.0,8.15,82.77,138.595,7.0,0.0,14.5
0.0,8.0,83.24,126.84,7.0,0.0,7.7
0.0,7.8500000000000005,83.875,115.02000000000001,7.0,0.0,0.1
0.0,8.3,82.14,92.095,7.0,0.0,0.1
76.0,10.05,78.45,81.875,7.5,110.0,0.0
187.5,11.450000000000001,74.295,72.81,4.0,272.5,0.0
320.0,12.75,75.0,65.43,5.0,406.5,0.0
399.0,13.5,77.2,60.45,5.5,497.5,0.0
339.5,13.850000000000001,78.49000000000001,58.51,4.0,532.0,0.0
334.0,14.0,79.47,59.900000000000006,7.0,507.0,0.0
282.0,13.95,80.795,64.415,7.5,422.0,0.0
125.5,13.5,84.425,71.435,7.5,288.5,0.0
35.0,12.75,89.73,80.27000000000001,7.0,129.0,0.0
5.0,12.25,93.07499999999999,90.39,5.5,11.5,0.0
0.0,9.9,98.75,162.44,7.5,0.0,2.7
0.0,9.600000000000001,98.58,158.89,0.5,0.0,9.8
0.0,9.5,98.15,149.70499999999998,0.0,0.0,3.1
0.0,9.5,97.03,138.54500000000002,0.0,0.0,5.4
0.0,9.600000000000001,96.38,126.79499999999999,0.0,0.0,4.7
0.0,9.700000000000001,95.62,114.97,5.0,0.0,7.4
0.0,10.65,90.99000000000001,92.035,7.0,0.0,0.1
65.5,11.4,89.745,81.785,5.5,102.0,0.0
165.5,11.850000000000001,87.41,72.69,3.5,262.0,0.0
250.0,12.350000000000001,82.38,65.285,3.0,405.5,0.0
286.5,12.850000000000001,75.095,60.275000000000006,4.0,502.5,0.0
233.0,12.95,70.83000000000001,58.30500000000001,6.0,540.0,0.0
433.5,12.850000000000001,69.66499999999999,59.685,5.0,517.0,0.0
433.0,12.5,71.25,64.195,0.5,433.0,0.0
125.0,11.950000000000001,75.375,71.225,3.0,300.5,0.0
122.0,10.950000000000001,81.235,80.075,3.5,138.5,0.0
8.5,10.0,85.15,90.205,1.5,13.5,0.0
0.0,8.3,92.245,157.41,0.0,0.0,1.4
0.0,8.05,92.705,162.23000000000002,3.5,0.0,9.4
0.0,7.75,93.17,158.75,0.0,0.0,15.4
0.0,7.4,93.41499999999999,149.625,0.0,0.0,19.6
0.0,7.0,94.305,138.485,0.0,0.0,21.6
0.0,6.6,95.13,126.745,0.0,0.0,21.7
0.0,6.300000000000001,95.08500000000001,114.92,0.0,0.0,20.2
0.0,6.0,94.935,103.305,0.0,0.0,16.4
0.0,6.45,91.105,91.95500000000001,1.5,0.0,9.8
85.5,8.15,86.42,81.685,1.5,119.0,0.0
273.5,9.4,80.62,72.565,4.0,287.5,0.0
346.5,10.850000000000001,71.61,65.13,4.5,428.5,0.0
469.0,11.75,65.025,60.09,1.0,523.0,0.0
559.5,12.150000000000002,61.605000000000004,58.1,1.0,559.5,0.0
502.0,12.4,59.75,59.465,4.0,532.0,0.0
386.5,12.350000000000001,59.605000000000004,63.975,1.0,448.0,0.0
313.0,11.900000000000002,63.135,71.00999999999999,0.0,313.0,0.0
147.5,10.65,73.29,79.87,0.0,147.5,0.0
15.5,9.700000000000001,72.575,90.015,1.5,15.5,0.0
0.0,8.15,87.185,157.195,0.0,0.0,1.5
0.0,7.95,88.37,162.02,1.0,0.0,9.2
0.0,7.700000000000001,89.3,158.60000000000002,0.0,0.0,15.1
0.0,7.45,89.99000000000001,149.535,0.0,0.0,19.2
0.0,7.25,90.07,138.42000000000002,0.0,0.0,21.1
0.0,7.050000000000001,89.64500000000001,126.685,0.0,0.0,21.3
0.0,6.8500000000000005,90.245,114.86,0.0,0.0,19.2
0.0,6.75,90.61500000000001,103.24000000000001,0.0,0.0,15.7
6.5,7.0,89.005,91.875,0.0,6.5,9.7
113.5,8.2,85.405,81.58,0.0,113.5,0.0
277.5,9.45,79.78,72.43,0.0,277.5,0.0
418.0,10.850000000000001,72.20500000000001,64.97,0.0,418.0,0.0
512.0,11.8,65.735,59.900000000000006,0.0,512.0,0.0
548.5,12.3,62.985,57.885000000000005,0.0,548.5,0.0
523.0,12.5,63.13,59.24,0.0,523.0,0.0
439.5,12.4,65.015,63.75,0.0,439.5,0.0
308.0,11.75,70.10499999999999,70.795,0.0,308.0,0.0
130.0,10.3,82.29,79.67,1.0,144.0,0.0
15.5,8.9,88.11500000000001,89.83000000000001,0.0,15.5,0.0
0.0,9.100000000000001,96.955,156.98000000000002,1.0,0.0,1.5
0.0,9.45,96.67500000000001,161.8,0.5,0.0,9.4
0.0,9.75,96.46000000000001,158.445,0.0,0.0,14.8
0.0,9.8,96.31,149.435,0.5,0.0,18.5
0.0,9.9,95.85000000000001,138.35000000000002,1.0,0.0,20.6
0.0,9.95,96.06,126.62,1.0,0.0,20.5
